epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.2079,0.64812,0.8392,0.90163,0.88845,0.70687,0.79691,0.63308,0.62893,0.61791,0.87814,0.000547495,0.000547495,0.000547495
2,21.9662,0.71163,0.69847,0.90788,0.8731,0.77896,0.82182,0.63359,0.67456,0.6471,0.91557,0.00110207,0.00110207,0.00110207
3,31.5006,0.68475,0.63505,0.9044,0.83223,0.81354,0.81283,0.65516,0.60493,0.61273,0.88311,0.00165229,0.00165229,0.00165229
4,40.9539,0.70234,0.61099,0.91159,0.88487,0.8191,0.86306,0.69001,0.64486,0.61149,0.89352,0.00165224,0.00165224,0.00165224
5,50.1719,0.65886,0.56795,0.89487,0.94938,0.85381,0.8943,0.71776,0.61083,0.56115,0.88984,0.00164081,0.00164081,0.00164081
6,59.4443,0.69153,0.59333,0.90322,0.87019,0.82551,0.86475,0.6817,0.64789,0.65144,0.91147,0.00162621,0.00162621,0.00162621
7,68.6502,0.66356,0.55439,0.89196,0.94775,0.85305,0.90742,0.7425,0.59774,0.49618,0.87577,0.00160847,0.00160847,0.00160847
8,77.9555,0.6554,0.53611,0.891,0.96345,0.83168,0.90086,0.72502,0.59082,0.51374,0.87666,0.00158767,0.00158767,0.00158767
9,87.1395,0.64801,0.5387,0.89515,0.96317,0.85355,0.89954,0.71714,0.60921,0.52254,0.887,0.0015639,0.0015639,0.0015639
10,96.58,0.60209,0.50626,0.87343,0.87435,0.89822,0.90294,0.73881,0.59046,0.49877,0.89484,0.00153725,0.00153725,0.00153725
11,105.824,0.60469,0.49743,0.87473,0.95869,0.86958,0.90581,0.74784,0.56076,0.51746,0.86452,0.00150782,0.00150782,0.00150782
12,115.162,0.60262,0.49681,0.87819,0.91091,0.87052,0.90457,0.7509,0.57856,0.47731,0.88266,0.00147572,0.00147572,0.00147572
13,124.494,0.61633,0.50046,0.87785,0.96139,0.86082,0.9018,0.73755,0.56996,0.49426,0.87381,0.0014411,0.0014411,0.0014411
14,134.148,0.58547,0.4857,0.87054,0.932,0.8793,0.91211,0.73337,0.56302,0.5035,0.87135,0.00140407,0.00140407,0.00140407
15,143.478,0.57238,0.47932,0.86807,0.90384,0.86127,0.90913,0.75002,0.55709,0.48561,0.86259,0.0013648,0.0013648,0.0013648
16,152.935,0.5761,0.47793,0.87261,0.93936,0.87573,0.93098,0.78386,0.5296,0.45981,0.8518,0.00132342,0.00132342,0.00132342
17,162.292,0.58698,0.47155,0.86642,0.9379,0.86497,0.92614,0.7745,0.51542,0.43381,0.83846,0.00128012,0.00128012,0.00128012
18,171.664,0.55239,0.43833,0.85887,0.95725,0.88768,0.92176,0.75945,0.55834,0.45918,0.86431,0.00123505,0.00123505,0.00123505
19,181.025,0.54859,0.43046,0.85677,0.95884,0.88374,0.9211,0.77215,0.5189,0.42728,0.85668,0.00118839,0.00118839,0.00118839
20,190.531,0.54705,0.43398,0.85551,0.96886,0.85641,0.92433,0.77231,0.51268,0.42685,0.85497,0.00114034,0.00114034,0.00114034
21,199.992,0.55107,0.44622,0.85637,0.95621,0.89485,0.92817,0.77228,0.52749,0.46834,0.85357,0.00109107,0.00109107,0.00109107
22,209.485,0.53887,0.43301,0.85596,0.9385,0.92489,0.93655,0.77981,0.50526,0.42706,0.84597,0.00104079,0.00104079,0.00104079
23,219.029,0.54939,0.42901,0.855,0.94859,0.88869,0.92971,0.79039,0.50488,0.43608,0.85018,0.000989689,0.000989689,0.000989689
24,228.718,0.54186,0.43047,0.85947,0.95855,0.91327,0.939,0.80077,0.48024,0.40771,0.84227,0.000937973,0.000937973,0.000937973
25,238.254,0.50235,0.40173,0.8488,0.93807,0.89744,0.93821,0.78839,0.48193,0.4004,0.83946,0.000885844,0.000885844,0.000885844
26,247.764,0.50246,0.39496,0.8514,0.93995,0.90026,0.93496,0.78927,0.49573,0.40118,0.84219,0.000833508,0.000833508,0.000833508
27,257.18,0.5016,0.40844,0.84283,0.95721,0.91527,0.94123,0.79858,0.48896,0.39366,0.84083,0.000781173,0.000781173,0.000781173
28,266.78,0.48135,0.38064,0.83811,0.96015,0.89744,0.93632,0.79983,0.47926,0.38784,0.84021,0.000729044,0.000729044,0.000729044
29,276.404,0.47563,0.38697,0.84361,0.96057,0.90262,0.94193,0.80307,0.48575,0.37111,0.84115,0.000677328,0.000677328,0.000677328
30,285.983,0.47868,0.38727,0.84542,0.95872,0.90537,0.93776,0.80434,0.47338,0.36679,0.83486,0.000626227,0.000626227,0.000626227
31,295.705,0.48954,0.38693,0.84634,0.94647,0.94298,0.9519,0.81305,0.45647,0.35713,0.82788,0.000575945,0.000575945,0.000575945
32,305.286,0.45779,0.36059,0.83485,0.93552,0.94877,0.94966,0.81596,0.45857,0.35024,0.82937,0.00052668,0.00052668,0.00052668
33,314.93,0.46882,0.3735,0.84252,0.97877,0.91029,0.95411,0.81307,0.45918,0.35266,0.82979,0.000478625,0.000478625,0.000478625
34,324.369,0.47603,0.36563,0.836,0.94754,0.91888,0.95013,0.813,0.45066,0.35507,0.82637,0.000431971,0.000431971,0.000431971
35,334.114,0.46156,0.35293,0.84007,0.92181,0.94983,0.95527,0.81696,0.4496,0.34565,0.82485,0.000386901,0.000386901,0.000386901
36,343.776,0.44412,0.34506,0.8341,0.97885,0.89303,0.95182,0.81866,0.44291,0.34152,0.82272,0.000343594,0.000343594,0.000343594
37,353.479,0.43822,0.34092,0.83089,0.96895,0.89592,0.95338,0.83351,0.42867,0.33697,0.81942,0.000302221,0.000302221,0.000302221
38,363.138,0.44572,0.34011,0.83094,0.96286,0.8991,0.95112,0.82739,0.43559,0.34526,0.81946,0.000262944,0.000262944,0.000262944
39,372.748,0.44221,0.34664,0.8312,0.93736,0.89763,0.94841,0.814,0.44451,0.34499,0.82465,0.000225919,0.000225919,0.000225919
40,382.6,0.43035,0.35084,0.82509,0.96953,0.89607,0.95151,0.81589,0.44002,0.34706,0.82277,0.000191292,0.000191292,0.000191292
41,408.464,0.39171,0.31483,0.80308,0.97236,0.89712,0.95233,0.82424,0.41931,0.33404,0.81557,0.000159199,0.000159199,0.000159199
42,417.935,0.38338,0.29789,0.80594,0.97523,0.8954,0.95264,0.82475,0.43082,0.3276,0.81933,0.000129768,0.000129768,0.000129768
43,427.555,0.38146,0.29417,0.80176,0.9377,0.93137,0.9538,0.83023,0.42115,0.32774,0.81844,0.000103114,0.000103114,0.000103114
44,437.088,0.37753,0.29452,0.80152,0.93095,0.93983,0.95294,0.82601,0.4258,0.32515,0.81844,7.93425e-05,7.93425e-05,7.93425e-05
45,446.752,0.37074,0.28775,0.80479,0.92851,0.93814,0.95169,0.83125,0.41636,0.32682,0.81569,5.85474e-05,5.85474e-05,5.85474e-05
