epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.0579,0.69658,0.65007,0.94548,0.82438,0.85446,0.87984,0.7165,0.63881,0.54104,0.9133,0.000551074,0.000551074,0.000551074
2,52.0501,0.74004,0.64188,0.94436,0.86366,0.82607,0.87396,0.66835,0.71791,0.64475,0.92839,0.00108848,0.00108848,0.00108848
3,75.8099,0.73635,0.65642,0.93963,0.87229,0.79276,0.85751,0.64552,0.77034,0.7527,0.96514,0.00160755,0.00160755,0.00160755
4,98.8542,0.75653,0.68162,0.95475,0.91605,0.78432,0.86686,0.6801,0.67704,0.60028,0.91502,0.00158448,0.00158448,0.00158448
5,122.372,0.71306,0.6258,0.93539,0.85713,0.87115,0.89192,0.72202,0.64599,0.53131,0.90746,0.00155698,0.00155698,0.00155698
6,145.546,0.71712,0.62885,0.94453,0.87535,0.84792,0.89953,0.74612,0.60761,0.56536,0.88742,0.00152947,0.00152947,0.00152947
7,169.178,0.69696,0.60015,0.92333,0.91652,0.83875,0.90304,0.73922,0.60365,0.52331,0.88836,0.00150197,0.00150197,0.00150197
8,192.306,0.68786,0.58293,0.92124,0.91796,0.85629,0.89679,0.73666,0.60201,0.51823,0.89608,0.00147446,0.00147446,0.00147446
9,215.383,0.68045,0.59942,0.9275,0.91553,0.85265,0.91374,0.75382,0.57251,0.50208,0.88171,0.00144696,0.00144696,0.00144696
10,238.437,0.66688,0.5604,0.90958,0.91406,0.85462,0.91418,0.75543,0.59285,0.51824,0.88247,0.00141945,0.00141945,0.00141945
11,261.528,0.66027,0.56134,0.9158,0.90946,0.88796,0.91016,0.76766,0.56187,0.49528,0.8774,0.00139195,0.00139195,0.00139195
12,284.601,0.63114,0.54297,0.90517,0.91502,0.88749,0.92946,0.76784,0.56425,0.46268,0.86859,0.00136444,0.00136444,0.00136444
13,307.9,0.62581,0.53106,0.90232,0.93448,0.88145,0.92421,0.78695,0.53502,0.46556,0.86084,0.00133693,0.00133693,0.00133693
14,331.078,0.61016,0.51836,0.89662,0.92067,0.84125,0.90381,0.74579,0.57618,0.49011,0.89282,0.00130943,0.00130943,0.00130943
15,354.012,0.61416,0.52368,0.90426,0.93478,0.87845,0.93036,0.77922,0.56503,0.47374,0.8715,0.00128192,0.00128192,0.00128192
16,377.117,0.61704,0.50749,0.90085,0.91047,0.90806,0.93258,0.78684,0.52808,0.42237,0.86198,0.00125442,0.00125442,0.00125442
17,404.468,0.59622,0.50028,0.89153,0.9605,0.88392,0.92201,0.78107,0.54533,0.41517,0.86862,0.00122691,0.00122691,0.00122691
18,429.102,0.60068,0.50275,0.89335,0.95136,0.89558,0.9346,0.78104,0.54603,0.42932,0.86634,0.00119941,0.00119941,0.00119941
19,452.136,0.58116,0.48069,0.88864,0.91263,0.85908,0.92646,0.77538,0.53998,0.46343,0.86904,0.0011719,0.0011719,0.0011719
20,475.496,0.58559,0.48563,0.88933,0.9348,0.88885,0.93717,0.80259,0.51802,0.42627,0.857,0.0011444,0.0011444,0.0011444
21,499.034,0.56817,0.46949,0.88096,0.92032,0.88981,0.93239,0.78278,0.54892,0.44918,0.87142,0.00111689,0.00111689,0.00111689
22,523.986,0.57035,0.4739,0.88311,0.9284,0.89307,0.94447,0.81111,0.49249,0.39078,0.84458,0.00108938,0.00108938,0.00108938
23,548.37,0.57116,0.46822,0.8751,0.93286,0.86426,0.93083,0.79311,0.50008,0.42136,0.85222,0.00106188,0.00106188,0.00106188
24,571.801,0.57234,0.47107,0.88544,0.95354,0.84769,0.93955,0.8075,0.49055,0.40854,0.84754,0.00103437,0.00103437,0.00103437
25,595.237,0.53249,0.43995,0.86803,0.92162,0.89906,0.94246,0.8126,0.48131,0.38506,0.839,0.00100687,0.00100687,0.00100687
26,618.37,0.53059,0.43515,0.8696,0.94484,0.88899,0.94245,0.80758,0.49761,0.39692,0.84618,0.000979362,0.000979362,0.000979362
27,641.683,0.5212,0.42542,0.86189,0.89117,0.91084,0.92823,0.79283,0.50915,0.40053,0.85125,0.000951857,0.000951857,0.000951857
28,664.722,0.53467,0.43466,0.86669,0.96703,0.87118,0.9426,0.81376,0.47859,0.38025,0.83774,0.000924352,0.000924352,0.000924352
29,687.911,0.53999,0.44087,0.86683,0.95011,0.89507,0.95363,0.82301,0.462,0.36819,0.83261,0.000896846,0.000896846,0.000896846
30,711.397,0.51347,0.41206,0.85784,0.94541,0.88074,0.94579,0.81696,0.45384,0.37472,0.8291,0.00086934,0.00086934,0.00086934
31,734.649,0.5165,0.42232,0.8622,0.94286,0.89826,0.94979,0.82368,0.45232,0.3755,0.83008,0.000841835,0.000841835,0.000841835
32,758.221,0.51902,0.41632,0.86179,0.94854,0.92284,0.95237,0.8255,0.44561,0.36172,0.82662,0.000814329,0.000814329,0.000814329
33,782.082,0.50613,0.41053,0.85657,0.95145,0.87975,0.95178,0.8392,0.43773,0.35873,0.82498,0.000786824,0.000786824,0.000786824
34,805.556,0.50725,0.3985,0.85651,0.9577,0.88792,0.94461,0.81875,0.45751,0.37205,0.83095,0.000759318,0.000759318,0.000759318
35,828.847,0.50409,0.40861,0.85388,0.95425,0.87479,0.94858,0.8328,0.44761,0.35567,0.83088,0.000731813,0.000731813,0.000731813
36,852.081,0.49396,0.39283,0.85207,0.95446,0.88838,0.94913,0.82915,0.46042,0.35695,0.8365,0.000704307,0.000704307,0.000704307
37,875.859,0.48468,0.38983,0.85028,0.93388,0.89021,0.94896,0.81296,0.4601,0.36522,0.83542,0.000676802,0.000676802,0.000676802
38,899.083,0.4887,0.39019,0.85455,0.94632,0.88928,0.94716,0.83352,0.4509,0.35212,0.82946,0.000649297,0.000649297,0.000649297
39,922.347,0.49965,0.39634,0.85792,0.94376,0.9032,0.95487,0.83305,0.43559,0.33932,0.82454,0.000621791,0.000621791,0.000621791
40,945.728,0.47513,0.37493,0.84776,0.95685,0.89299,0.95716,0.83843,0.42115,0.34042,0.82229,0.000594286,0.000594286,0.000594286
41,968.902,0.47003,0.36999,0.84679,0.95644,0.89131,0.95308,0.84533,0.42614,0.33625,0.8224,0.00056678,0.00056678,0.00056678
42,992.23,0.47526,0.37299,0.84875,0.93495,0.9154,0.95411,0.84533,0.42384,0.34199,0.82307,0.000539275,0.000539275,0.000539275
43,1016.95,0.46353,0.35275,0.84721,0.94292,0.91035,0.95007,0.84853,0.41373,0.32667,0.81883,0.000511769,0.000511769,0.000511769
44,1040.26,0.47048,0.36787,0.84765,0.93884,0.89564,0.95849,0.84444,0.41654,0.34176,0.82014,0.000484263,0.000484263,0.000484263
45,1063.44,0.45423,0.35397,0.8374,0.90921,0.92218,0.95165,0.8411,0.41848,0.33387,0.8201,0.000456758,0.000456758,0.000456758
46,1087.64,0.45136,0.35167,0.84342,0.93244,0.91296,0.95524,0.84981,0.41604,0.32668,0.82004,0.000429253,0.000429253,0.000429253
47,1110.93,0.4518,0.35799,0.84258,0.95753,0.88329,0.95434,0.85622,0.40219,0.33101,0.81632,0.000401747,0.000401747,0.000401747
48,1134.35,0.46149,0.36138,0.84581,0.96613,0.87716,0.95702,0.84363,0.41432,0.3436,0.81893,0.000374242,0.000374242,0.000374242
49,1157.58,0.44673,0.34719,0.83957,0.90778,0.95669,0.96179,0.85236,0.4046,0.30942,0.81732,0.000346736,0.000346736,0.000346736
50,1181.79,0.4563,0.36172,0.84015,0.951,0.91627,0.96579,0.85403,0.4076,0.31919,0.81776,0.000319231,0.000319231,0.000319231
51,1269.68,0.38918,0.29628,0.81266,0.94193,0.90646,0.95183,0.83627,0.42229,0.33853,0.8217,0.000291725,0.000291725,0.000291725
52,1292.9,0.37876,0.28418,0.81132,0.93514,0.92038,0.95386,0.84324,0.40987,0.32509,0.82005,0.00026422,0.00026422,0.00026422
