epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.6984,0.81275,1.86172,1.02332,0.73454,0.76866,0.78309,0.64251,0.67375,1.10681,0.92459,0.000164251,0.000164251,0.067314
2,22.7894,0.67259,0.79929,0.92491,0.92655,0.85652,0.92362,0.80754,0.56424,0.6316,0.86647,0.000330012,0.000330012,0.0341464
3,32.3874,0.61957,0.66314,0.89144,0.90965,0.94194,0.96937,0.83514,0.56396,0.53944,0.8622,0.000492148,0.000492148,0.00097524
4,42.4034,0.57744,0.58687,0.88263,0.92202,0.914,0.97413,0.86385,0.52524,0.50123,0.85197,0.000487765,0.000487765,0.000487765
5,52.3544,0.56029,0.53808,0.85934,0.90244,0.94981,0.98423,0.87724,0.5059,0.48411,0.84589,0.000478387,0.000478387,0.000478387
6,62.2143,0.56149,0.54464,0.87579,0.95047,0.95576,0.98219,0.88566,0.48927,0.42671,0.84254,0.000466508,0.000466508,0.000466508
7,72.3035,0.52873,0.49707,0.85924,0.92093,0.96303,0.96931,0.88143,0.48126,0.45654,0.83345,0.000452257,0.000452257,0.000452257
8,83.4302,0.52148,0.47352,0.85378,0.94872,0.97264,0.99065,0.88937,0.49403,0.43433,0.83813,0.000435789,0.000435789,0.000435789
9,93.4899,0.52746,0.47502,0.86307,0.94346,0.9801,0.98874,0.89635,0.47938,0.42013,0.8375,0.000417287,0.000417287,0.000417287
10,103.429,0.49615,0.44224,0.84746,0.93973,0.97015,0.9896,0.90179,0.4545,0.3938,0.8191,0.000396951,0.000396951,0.000396951
11,113.799,0.48535,0.42145,0.83964,0.96938,0.97328,0.99185,0.90813,0.45673,0.37499,0.82719,0.000375006,0.000375006,0.000375006
12,124.643,0.47612,0.42157,0.84126,0.9265,0.98888,0.9754,0.89206,0.44647,0.38847,0.82482,0.000351692,0.000351692,0.000351692
13,134.339,0.46898,0.39918,0.83809,0.9607,0.9801,0.99397,0.89571,0.44947,0.35354,0.8246,0.000327263,0.000327263,0.000327263
14,144.18,0.4633,0.40466,0.83258,0.99739,0.95884,0.9932,0.91919,0.41926,0.33172,0.81406,0.000301988,0.000301988,0.000301988
15,154.186,0.43921,0.3795,0.83702,0.98085,0.97761,0.99412,0.9282,0.40022,0.32515,0.81159,0.000276143,0.000276143,0.000276143
16,164.012,0.45033,0.39527,0.83147,0.95485,0.99075,0.99427,0.92224,0.40698,0.32825,0.81057,0.000250013,0.000250013,0.000250013
17,174.005,0.44097,0.36387,0.82826,0.9626,0.99751,0.99272,0.93,0.40076,0.32435,0.80911,0.000223882,0.000223882,0.000223882
18,184.268,0.40983,0.34298,0.82217,0.96057,0.98243,0.9944,0.921,0.41804,0.32618,0.8091,0.000198037,0.000198037,0.000198037
19,193.943,0.4142,0.33477,0.82251,0.97712,0.97885,0.99128,0.92762,0.40798,0.32306,0.81046,0.000172762,0.000172762,0.000172762
20,204.053,0.39991,0.325,0.82504,0.96533,0.98756,0.99211,0.91831,0.39371,0.31473,0.80723,0.000148333,0.000148333,0.000148333
21,229.635,0.3691,0.31242,0.79347,0.98134,0.99106,0.99105,0.91856,0.39517,0.30874,0.80321,0.000125019,0.000125019,0.000125019
22,239.451,0.35705,0.28804,0.79391,0.97017,0.98271,0.9904,0.92216,0.39875,0.30427,0.80556,0.000103074,0.000103074,0.000103074
23,249.101,0.35137,0.28613,0.80245,0.96912,0.98259,0.99043,0.92935,0.39621,0.29992,0.80705,8.27382e-05,8.27382e-05,8.27382e-05
24,258.801,0.34582,0.27634,0.79824,0.97516,0.98511,0.99037,0.93394,0.38267,0.29617,0.8038,6.42356e-05,6.42356e-05,6.42356e-05
25,268.502,0.33689,0.26284,0.79567,0.97947,0.98259,0.99014,0.93576,0.38163,0.29621,0.80508,4.77684e-05,4.77684e-05,4.77684e-05
26,278.106,0.33805,0.26833,0.80001,0.97181,0.98497,0.98841,0.92335,0.38367,0.29998,0.8054,3.3517e-05,3.3517e-05,3.3517e-05
27,287.814,0.32926,0.25744,0.79002,0.97455,0.98888,0.98775,0.92751,0.38194,0.29095,0.80439,2.16376e-05,2.16376e-05,2.16376e-05
28,297.428,0.33568,0.25757,0.79905,0.97662,0.98687,0.98749,0.92921,0.37702,0.28663,0.80253,1.22603e-05,1.22603e-05,1.22603e-05
29,307.313,0.32602,0.24978,0.79832,0.9769,0.98817,0.98709,0.93117,0.37499,0.28533,0.80194,5.48783e-06,5.48783e-06,5.48783e-06
30,316.947,0.32668,0.26076,0.79951,0.97647,0.98708,0.98686,0.92799,0.37684,0.28721,0.80247,1.39446e-06,1.39446e-06,1.39446e-06
