epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.498,0.64457,0.57574,0.9092,0.97978,0.47761,0.48983,0.41001,0.62198,0.57902,0.90096,0.000245192,0.000245192,0.0512067
2,31.7143,0.6278,0.57222,0.91463,0.79205,0.98869,0.95181,0.89269,0.49808,0.49049,0.83006,0.000483075,0.000483075,0.00144461
3,40.7017,0.60437,0.54248,0.89147,0.90012,0.86872,0.96685,0.89014,0.51243,0.47386,0.8372,0.000452257,0.000452257,0.000452257
4,49.5024,0.57771,0.51199,0.87156,0.9414,0.99254,0.98111,0.87832,0.47699,0.43556,0.82525,0.000396951,0.000396951,0.000396951
5,58.2479,0.60158,0.51777,0.8991,0.97798,0.98635,0.9811,0.87272,0.49895,0.42976,0.82974,0.000327263,0.000327263,0.000327263
6,67.0654,0.56566,0.47942,0.87685,0.94989,0.99254,0.98103,0.88201,0.48227,0.43808,0.82777,0.000250013,0.000250013,0.000250013
7,75.8691,0.51584,0.44456,0.86095,0.91852,0.99751,0.98457,0.93602,0.46281,0.41134,0.82138,0.000172762,0.000172762,0.000172762
8,84.754,0.5124,0.42679,0.8638,0.93545,0.98062,0.98795,0.93768,0.45715,0.40261,0.81706,0.000103074,0.000103074,0.000103074
9,93.7597,0.49125,0.41599,0.85315,0.95516,0.99751,0.98832,0.92232,0.44534,0.37819,0.81414,4.77684e-05,4.77684e-05,4.77684e-05
10,102.609,0.48274,0.42451,0.85128,0.96599,0.99502,0.98811,0.9417,0.43815,0.36723,0.81295,1.22603e-05,1.22603e-05,1.22603e-05
